name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Decatur,2024-02-01,13.4,2.2,6.7,13.4,-2.2,4.4,3,78.3,0,0,0,,0,0,33.5,23.6,220.2,1015.1,0,15.6,94.7,8.2,4,10,2024-02-01T07:04:25,2024-02-01T17:14:51,0.73,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-02,7.8,0.1,4.1,4.4,-4.2,-0.2,1.4,83.6,0,0,0,,0,0,31.3,29.3,74.5,1017.8,82.3,11.4,82.3,7.1,5,10,2024-02-02T07:03:28,2024-02-02T17:16:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-03,10,-1.6,2.9,6.6,-6,-1.4,-0.1,81.8,0,0,0,,0,0,35.3,29,81.6,1016.7,0,14.5,140.7,12.2,6,10,2024-02-03T07:02:30,2024-02-03T17:17:15,0.8,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-04,9.9,-0.6,3.3,6.7,-5.7,-0.7,-0.3,78.3,0,0,0,,0,0,37.1,29.3,51.3,1014.2,0,15.4,120,10.4,5,10,2024-02-04T07:01:31,2024-02-04T17:18:28,0.83,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-05,9.4,-0.7,2.9,7.4,-5.5,-0.7,-1.4,75.3,0,0,0,,0,0,33.5,22,15.6,1019.1,0,13.9,138.2,11.9,6,10,2024-02-05T07:00:30,2024-02-05T17:19:40,0.86,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-06,3.9,-3.3,-0.3,3.4,-7.8,-3.2,-1.6,90.7,0,0,0,,0,0,18.4,17.9,74.1,1022.9,55.6,4.8,84.1,7.3,4,10,2024-02-06T06:59:27,2024-02-06T17:20:52,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-07,10.6,-2.1,4.1,10.6,-5.6,2.1,0.4,78.2,0,0,0,,0,0,38.9,23.9,143.1,1020.7,0,12.1,81.9,7.1,4,10,2024-02-07T06:58:23,2024-02-07T17:22:04,0.93,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
Decatur,2024-02-08,15.7,6.7,11.4,15.7,3.4,10.1,5.7,68,0,0,0,,0,0,66,46.1,183.3,1010.6,29.8,16,97,8.4,6,10,2024-02-08T06:57:17,2024-02-08T17:23:16,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KTAZ,72531603887,KDEC,D9761,KAAA,KCMI,74467204862"
Decatur,2024-02-09,17.9,7.2,13.1,17.9,7.2,13,8.5,75.4,0,0,0,,0,0,57.6,31.7,217.3,1009.9,19.5,15.2,135.5,11.6,6,10,2024-02-09T06:56:10,2024-02-09T17:24:27,0,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,KCMI,74467204862"
Decatur,2024-02-10,7.8,1.1,3.6,5.2,-4.3,0.1,-1.3,70.4,0,0,0,,0,0,35.3,23.6,330.6,1015.9,12.8,16,89.4,7.7,4,10,2024-02-10T06:55:01,2024-02-10T17:25:39,0.03,Clear,Clear conditions throughout the day.,clear-day,"KTAZ,72531603887,KDEC,D9761,KAAA,74467204862"
