name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lubbock,2024-02-01,24.3,5.6,14,24.3,2.5,13.4,3.2,51.7,0,0,0,,0,0,37.1,25.9,234.4,1011.8,43.1,16,178.6,15.3,7,10,2024-02-01T07:43:59,2024-02-01T18:18:21,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-02,22.2,6.1,13.8,22.2,3.8,13.6,4.8,58.8,0,0,0,,0,0,78.5,44.5,225.8,1002.9,53.3,14.4,107.9,9.2,7,10,2024-02-02T07:43:16,2024-02-02T18:19:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-03,17.1,3.8,10,17.1,-0.3,7.9,-2.4,44.8,0,0,0,,0,0,75.6,48.1,262,996.9,32.9,16,177.8,15.3,7,10,2024-02-03T07:42:32,2024-02-03T18:20:17,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-04,15.6,3.3,9.1,15.6,-1.1,6.3,1.6,61.8,0,0,0,,0,0,69,42.5,330.9,1008.4,26.7,16,167.2,14.5,7,10,2024-02-04T07:41:47,2024-02-04T18:21:16,0.83,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-05,14.3,2.2,8.4,14.3,-0.5,6.3,2.7,69.3,0,0,0,,0,0,33.5,24.1,9,1020.2,60.7,16,164.7,14.3,7,10,2024-02-05T07:41:00,2024-02-05T18:22:13,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-06,16.1,1.6,9.6,16.1,0.2,8.8,2.5,63.2,0,0,0,,0,0,42.5,27.6,171.2,1017.1,80.8,15.8,126.8,10.8,6,10,2024-02-06T07:40:11,2024-02-06T18:23:11,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-07,16.7,7.8,10.9,16.7,5.3,9.7,3.7,61.9,1.087,100,8.33,rain,0,0,63.3,42.1,191.4,1008,82.7,15.8,73.4,6.5,5,10,2024-02-07T07:39:21,2024-02-07T18:24:09,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-08,18.3,3.8,11.2,18.3,-0.5,9.4,-3.3,40.4,0,0,0,,0,0,65.2,46.3,250,1010.2,15.4,16,204,17.6,7,10,2024-02-08T07:38:30,2024-02-08T18:25:06,0.96,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-09,13.3,5.6,9.5,13.3,2.6,7.8,-2.2,45.4,0,0,0,,0,0,46.4,29.5,249,1011.2,90.9,16,89.4,7.8,4,10,2024-02-09T07:37:38,2024-02-09T18:26:03,0,Overcast,Cloudy skies throughout the day.,cloudy,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-10,10.6,4.3,6.9,10.6,0.1,4.3,1.5,69.3,0.295,100,4.17,rain,0,0,42.5,29.6,73.3,1009.6,80.5,16,168.9,14.5,7,10,2024-02-10T07:36:44,2024-02-10T18:26:59,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-11,5.6,-1.2,1,2.5,-7.8,-4.8,-0.8,88,11.784,100,58.33,"rain,snow",14.3,3.8,53.4,38.7,25.8,1013.9,97.8,7.2,65.1,5.8,3,10,2024-02-11T07:35:49,2024-02-11T18:27:56,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-12,7.1,-7.9,-0.9,5.1,-14.8,-5.2,-4.6,76.7,0,0,0,snow,0.5,3.4,25.9,20.5,288.3,1020.6,8.9,16,207.8,17.7,8,10,2024-02-12T07:34:52,2024-02-12T18:28:52,0.1,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-13,17.1,-1.8,6.7,17.1,-4.6,5.3,-2.1,58.4,0,0,0,,0,0,29.5,22,223.1,1017.3,13.4,16,212.4,18.5,8,10,2024-02-13T07:33:55,2024-02-13T18:29:47,0.13,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-14,21.6,1.6,11.1,21.6,-1.6,9.5,-1.6,45.1,0,0,0,,0,0,46,35.3,242.2,1014.5,14.1,16,213,18.6,8,10,2024-02-14T07:32:56,2024-02-14T18:30:43,0.16,Clear,Clear conditions throughout the day.,clear-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-15,20.6,1.1,10.8,20.6,-2.2,9.4,-2.7,44,0,0,0,,0,0,35.2,27.6,223.7,1016.5,75.5,16,214.5,18.5,8,10,2024-02-15T07:31:56,2024-02-15T18:31:38,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-16,14.2,0,6.1,14.2,-5.6,2.5,-1,61.4,0,0,0,,0,0,62.8,40.7,17.6,1016.1,66.7,16,120.8,10.4,7,10,2024-02-16T07:30:55,2024-02-16T18:32:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-17,2.2,-3.3,-1.6,-1.3,-10.3,-6.7,-6.8,68.5,0,0,0,,0,0,42.5,27.7,43.5,1027.3,78.5,16,83.9,7.3,3,10,2024-02-17T07:29:52,2024-02-17T18:33:27,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
Lubbock,2024-02-18,11.7,-6.2,2.8,11.7,-11.9,-0.4,-4.7,61.6,0,0,0,,0,0,38.9,27.6,230.4,1020.8,36.3,16,211.6,18.4,8,10,2024-02-18T07:28:49,2024-02-18T18:34:21,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KLBB,KPVW,72267023042,72217423097,E3644"
