name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Saginaw,2024-03-01,9.3,-2.2,3.5,6.4,-6.5,0,-6.6,49.9,0,0,0,,0,0,37.1,23.2,184.4,1024.4,22.8,16,116.3,10,5,10,2024-03-01T07:11:09,2024-03-01T18:25:33,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KMBS,KFNT,F3078,72637914845,72637014826,72062900216"
Saginaw,2024-03-02,11.8,3.9,6.9,11.8,1.8,5.4,0.5,64.2,0,0,0,,0,0,25.9,15.5,187.7,1019.4,59.5,16,98.9,8.6,5,10,2024-03-02T07:09:28,2024-03-02T18:26:49,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KMBS,KFNT,F3078,72637914845,72637014826,72062900216"
Saginaw,2024-03-03,16.6,3.7,9.2,16.6,1,7.3,4.2,72.6,0,0,0,,0,0,48.1,31.2,151,1018,21.8,15.3,97.8,8.4,5,10,2024-03-03T07:07:47,2024-03-03T18:28:05,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KMBS,KFNT,F3078,72637914845,72637014826,72062900216"
Saginaw,2024-03-04,21,8.3,14.4,21,5.9,13.5,9.1,71.3,0,0,0,,0,0,51.4,27.7,180.9,1014.3,29.1,16,98.3,8.5,5,10,2024-03-04T07:06:05,2024-03-04T18:29:20,0.81,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KMBS,KFNT,F3078,72637914845,72637014826,72062900216"
Saginaw,2024-03-05,16.8,5,8.8,16.8,1.1,6.4,6.2,84.4,9.322,100,33.33,rain,0,0,50,24.8,43.4,1014.5,82.5,12.9,30.5,2.7,2,10,2024-03-05T07:04:22,2024-03-05T18:30:35,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KMBS,KFNT,F3078,72637914845,72637014826,72062900216"
Saginaw,2024-03-06,6.7,2.7,3.9,2.5,-2.3,-0.7,-1,70.9,0.066,100,4.17,rain,0,0,53.6,36.8,39.4,1020,61.1,16,71.6,6.2,3,10,2024-03-06T07:02:39,2024-03-06T18:31:50,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KMBS,KFNT,F3078,72637914845,72637014826,72212504829,72062900216"
Saginaw,2024-03-07,7.9,0.9,3.7,4.9,-3.1,0.1,-0.6,73.9,0,0,0,,0,0,27.7,23.7,39.8,1021.7,42.8,16,103.8,8.9,6,10,2024-03-07T07:00:56,2024-03-07T18:33:05,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KMBS,KFNT,F3078,72637914845,72637014826,72212504829,72062900216"
Saginaw,2024-03-08,8,1.3,5.3,6.5,-0.8,3.1,2.9,84.8,16.199,100,41.67,rain,0,0,25.9,15.7,72.6,1016.4,90.2,12,28.1,2.4,1,10,2024-03-08T06:59:12,2024-03-08T18:34:20,0.94,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KMBS,KFNT,F3078,72637914845,72637014826,72062900216"
Saginaw,2024-03-09,10.9,-0.5,4.6,10.9,-5.9,0.4,2.1,84.2,4.584,100,33.33,rain,0,0,46.4,27.1,288.2,1005.1,100,13.7,41.1,3.5,2,10,2024-03-09T06:57:27,2024-03-09T18:35:34,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KMBS,KFNT,F3078,72637914845,72637014826,72212504829,72062900216,KHYX"
Saginaw,2024-03-10,2.9,-2,0.1,-2.9,-8.7,-6.1,-5.3,68.3,0.32,100,16.67,"rain,snow",3.4,0.1,69.3,41,309.2,1011.8,70.2,11.7,84,6.9,3,10,2024-03-10T07:55:42,2024-03-10T19:36:48,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"KMBS,KFNT,F3078,72637914845,72637014826,72212504829,72062900216"
