,Date,Price
0,2024-03-05,19.37
1,2024-03-06,19.48
2,2024-03-07,19.86
3,2024-03-08,19.98
4,2024-03-11,20.09
5,2024-03-12,20.09
6,2024-03-13,20.05
7,2024-03-14,19.82
8,2024-03-15,19.95
9,2024-03-18,19.95
10,2024-03-19,20.02
11,2024-03-20,20.08
12,2024-03-21,20.16
13,2024-03-22,20.1
14,2024-03-25,20.06
15,2024-03-26,19.78
16,2024-03-27,19.54
17,2024-03-28,20.18
18,2024-04-01,20.11
19,2024-04-02,19.78
20,2024-04-03,19.89
21,2024-04-04,20.0
22,2024-04-05,19.91
23,2024-04-08,19.96
24,2024-04-09,19.76
25,2024-04-10,19.83
26,2024-04-11,19.68
27,2024-04-12,19.92
28,2024-04-15,19.82
29,2024-04-16,19.73
30,2024-04-17,19.67
31,2024-04-18,19.48
32,2024-04-19,19.7
33,2024-04-22,20.06
34,2024-04-23,20.16
35,2024-04-24,20.01
36,2024-04-25,20.16
37,2024-04-26,20.04
38,2024-04-29,20.0
39,2024-04-30,19.95
40,2024-05-01,20.0214
41,2024-05-02,20.44
42,2024-05-03,20.53
43,2024-05-06,20.84
44,2024-05-07,20.81
45,2024-05-08,20.45
46,2024-05-09,20.427
47,2024-05-10,20.83
48,2024-05-13,20.9
49,2024-05-14,20.87
50,2024-05-15,20.7
51,2024-05-16,20.5
52,2024-05-17,20.31
53,2024-05-20,20.57
54,2024-05-21,20.48
55,2024-05-22,20.56
56,2024-05-23,20.63
57,2024-05-24,20.72
58,2024-05-28,20.59
59,2024-05-29,20.41
60,2024-05-30,20.08
61,2024-05-31,19.9
62,2024-06-03,19.75
63,2024-06-04,19.71
64,2024-06-05,19.5601
65,2024-06-06,20.08
66,2024-06-07,19.94
67,2024-06-10,19.98
68,2024-06-11,19.89
69,2024-06-12,19.95
70,2024-06-13,20.23
71,2024-06-14,19.94
72,2024-06-17,19.75
73,2024-06-18,19.84
74,2024-06-20,19.55
75,2024-06-21,19.34
76,2024-06-24,19.33
77,2024-06-25,18.98
78,2024-06-26,18.77
79,2024-06-27,18.72
80,2024-06-28,18.31
81,2024-07-01,18.36
82,2024-07-02,18.33
83,2024-07-03,18.28
84,2024-07-05,18.43
85,2024-07-08,17.84
86,2024-07-09,17.9
87,2024-07-10,17.82
88,2024-07-11,18.0
89,2024-07-12,18.19
