,Date,Price
0,2024-03-05,22.19
1,2024-03-06,22.35
2,2024-03-07,22.45
3,2024-03-08,22.43
4,2024-03-11,22.74
5,2024-03-12,23.0
6,2024-03-13,22.96
7,2024-03-14,23.09
8,2024-03-15,23.59
9,2024-03-18,23.72
10,2024-03-19,23.55
11,2024-03-20,23.79
12,2024-03-21,23.92
13,2024-03-22,24.08
14,2024-03-25,24.64
15,2024-03-26,24.52
16,2024-03-27,24.67
17,2024-03-28,24.76
18,2024-04-01,25.07
19,2024-04-02,24.76
20,2024-04-03,24.7
21,2024-04-04,24.8
22,2024-04-05,25.08
23,2024-04-08,24.88
24,2024-04-09,25.04
25,2024-04-10,25.26
26,2024-04-11,25.2
27,2024-04-12,25.43
28,2024-04-15,25.66
29,2024-04-16,25.07
30,2024-04-17,25.41
31,2024-04-18,25.93
32,2024-04-19,26.51
33,2024-04-22,26.19
34,2024-04-23,25.95
35,2024-04-24,26.54
36,2024-04-25,26.17
37,2024-04-26,26.04
38,2024-04-29,25.1
39,2024-04-30,24.64
40,2024-05-01,23.84
41,2024-05-02,23.45
42,2024-05-03,23.97
43,2024-05-06,23.78
44,2024-05-07,24.5
45,2024-05-08,24.43
46,2024-05-09,24.4
47,2024-05-10,24.67
48,2024-05-13,23.47
49,2024-05-14,23.7
50,2024-05-15,23.86
51,2024-05-16,23.5
52,2024-05-17,23.49
53,2024-05-20,23.74
54,2024-05-21,24.01
55,2024-05-22,24.11
56,2024-05-23,24.63
57,2024-05-24,24.67
58,2024-05-28,25.21
59,2024-05-29,25.46
60,2024-05-30,25.32
61,2024-05-31,25.13
62,2024-06-03,25.24
63,2024-06-04,25.18
64,2024-06-05,25.22
65,2024-06-06,25.53
66,2024-06-07,25.37
67,2024-06-10,24.89
68,2024-06-11,25.27
69,2024-06-12,25.75
70,2024-06-13,25.85
71,2024-06-14,25.61
72,2024-06-17,25.24
73,2024-06-18,25.29
74,2024-06-20,24.82
75,2024-06-21,24.59
76,2024-06-24,24.26
77,2024-06-25,23.96
78,2024-06-26,23.91
79,2024-06-27,23.64
80,2024-06-28,23.8
81,2024-07-01,23.62
82,2024-07-02,23.97
83,2024-07-03,24.03
84,2024-07-05,24.19
85,2024-07-08,24.01
86,2024-07-09,24.36
87,2024-07-10,24.06
88,2024-07-11,24.49
89,2024-07-12,24.38
