,Date,Price
0,2024-03-05,24.27
1,2024-03-06,24.26
2,2024-03-07,24.57
3,2024-03-08,24.97
4,2024-03-11,24.92
5,2024-03-12,25.21
6,2024-03-13,25.27
7,2024-03-14,25.27
8,2024-03-15,25.26
9,2024-03-18,25.1
10,2024-03-19,25.1
11,2024-03-20,25.54
12,2024-03-21,25.56
13,2024-03-22,25.17
14,2024-03-25,25.37
15,2024-03-26,25.17
16,2024-03-27,25.03
17,2024-03-28,25.21
18,2024-04-01,25.06
19,2024-04-02,24.95
20,2024-04-03,25.19
21,2024-04-04,25.11
22,2024-04-05,25.16
23,2024-04-08,25.12
24,2024-04-09,25.0
25,2024-04-10,24.82
26,2024-04-11,24.76
27,2024-04-12,24.91
28,2024-04-15,24.77
29,2024-04-16,24.5167
30,2024-04-17,24.56
31,2024-04-18,24.33
32,2024-04-19,24.62
33,2024-04-22,24.9
34,2024-04-23,24.94
35,2024-04-24,24.9146
36,2024-04-25,24.97
37,2024-04-26,24.9649
38,2024-04-29,25.0342
39,2024-04-30,24.65
40,2024-05-01,24.79
41,2024-05-02,25.3
42,2024-05-03,25.55
43,2024-05-06,26.01
44,2024-05-07,26.11
45,2024-05-08,25.78
46,2024-05-09,25.53
47,2024-05-10,25.68
48,2024-05-13,25.81
49,2024-05-14,25.65
50,2024-05-15,25.53
51,2024-05-16,25.45
52,2024-05-17,25.52
53,2024-05-20,25.77
54,2024-05-21,25.72
55,2024-05-22,25.92
56,2024-05-23,25.74
57,2024-05-24,25.86
58,2024-05-28,25.68
59,2024-05-29,25.43
60,2024-05-30,25.29
61,2024-05-31,25.27
62,2024-06-03,24.84
63,2024-06-04,24.62
64,2024-06-05,24.5
65,2024-06-06,24.92
66,2024-06-07,24.67
67,2024-06-10,24.7
68,2024-06-11,24.53
69,2024-06-12,24.52
70,2024-06-13,24.6297
71,2024-06-14,24.46
72,2024-06-17,24.11
73,2024-06-18,24.15
74,2024-06-20,23.96
75,2024-06-21,23.97
76,2024-06-24,24.08
77,2024-06-25,23.7
78,2024-06-26,23.65
79,2024-06-27,23.62
80,2024-06-28,23.651
81,2024-07-01,23.9
82,2024-07-02,23.9
83,2024-07-03,24.145
84,2024-07-05,24.3
85,2024-07-08,23.66
86,2024-07-09,23.27
87,2024-07-10,23.0
88,2024-07-11,23.12
89,2024-07-12,22.99
