name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Des Moines,2024-03-01,12.9,-0.3,6.2,12.9,-4.7,3.6,-3.5,50.6,0,0,0,,0,0,47.2,30.3,179,1015.3,16.5,15.9,124.4,10.8,7,10,2024-03-01T06:48:11,2024-03-01T18:05:48,0.71,Clear,Clear conditions throughout the day.,clear-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-02,20.5,0.7,10.7,20.5,-2.6,9.3,2.2,59.6,0,0,0,,0,0,50.2,35.1,150.3,1010.5,16.1,15.8,131.1,11.4,7,10,2024-03-02T06:46:36,2024-03-02T18:06:59,0.74,Clear,Clear conditions throughout the day.,clear-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-03,25.5,8.9,17.1,25.5,6.7,16.9,4.8,47.4,0,0,0,,0,0,79.4,50.7,195.9,1001.3,26.2,15.7,118.7,10.3,7,10,2024-03-03T06:45:00,2024-03-03T18:08:09,0.75,Partially cloudy,Partly cloudy throughout the day.,wind,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-04,8.1,4,6.9,6.5,-0.1,3.6,0.3,63.9,0.422,100,8.33,rain,0,0,49.5,28.4,34.1,1011.4,80.2,15.6,24,2,1,10,2024-03-04T06:43:24,2024-03-04T18:09:19,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-05,13.6,-1.4,5.8,13.6,-5.1,4,-2.1,59.6,0,0,0,,0,0,38.9,24.1,1.2,1018.1,26.5,15.9,136,11.7,7,10,2024-03-05T06:41:47,2024-03-05T18:10:29,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-06,14.5,-1.2,7.7,14.5,-3,7,-3.7,50,0,0,0,,0,0,36.9,21.1,111.9,1018,58.1,15.9,112.4,9.6,7,10,2024-03-06T06:40:09,2024-03-06T18:11:38,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,KAMW,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-07,12.1,3.3,8.4,12.1,-0.1,6.5,3.7,73.6,0.946,100,16.67,rain,0,0,31.3,24.7,82.8,1014.4,77.3,14.1,61.3,5.2,3,10,2024-03-07T06:38:31,2024-03-07T18:12:47,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-08,6.5,0.8,3.5,3.6,-4.8,-0.9,-1,74.4,3.657,100,50,"rain,snow",0,0,51.8,25.9,351.3,1016.5,85.6,12.9,51.5,4.5,2,10,2024-03-08T06:36:53,2024-03-08T18:13:56,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-09,9,-4.8,2.1,5.2,-10,-1.9,-8.2,49.8,0,0,0,,0,0,46,30.8,318.9,1019.9,10.2,15.9,164.1,14.1,8,10,2024-03-09T06:35:14,2024-03-09T18:15:05,0.98,Clear,Clear conditions throughout the day.,clear-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-10,14.3,-5.3,4.6,14.3,-5.3,3.8,-7.7,44.6,0,0,0,,0,0,30.4,16.8,189.4,1021.3,12.1,15.8,167.4,13.9,8,10,2024-03-10T07:33:34,2024-03-10T19:16:13,0,Clear,Clear conditions throughout the day.,clear-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-11,23.9,6.6,14.5,23.9,3.9,13.3,0,39.6,0,0,0,,0,0,56.8,35.9,207.4,1013.9,21.9,15.9,161.8,13.9,8,10,2024-03-11T07:31:54,2024-03-11T19:17:21,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-12,19.3,10.1,14.6,19.3,10.1,14.6,4.4,51.2,0,0,0,,0,0,42.5,25,216.5,1008.7,49.9,15.7,109.8,9.5,4,10,2024-03-12T07:30:14,2024-03-12T19:18:29,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-13,22.1,5.7,14.3,22.1,4,14,6.3,61.2,0.206,100,4.17,rain,0,0,32.7,20.8,96,1007.7,56.6,15.6,131.5,11.2,6,10,2024-03-13T07:28:34,2024-03-13T19:19:37,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-14,15,9,10.8,15,6.1,9.8,8.3,85.1,10.588,100,45.83,rain,0,0,59,35.2,39.9,1011.5,96.7,12.2,25,2.1,1,10,2024-03-14T07:26:53,2024-03-14T19:20:45,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-15,14,3.3,8.9,14,-1,7.3,1.9,63,0,0,0,,0,0,40,24.2,310.6,1022.2,21.8,16,166.2,14.4,8,10,2024-03-15T07:25:12,2024-03-15T19:21:52,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,KAMW,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-16,11.9,4.8,8.6,11.9,1.4,6.4,-1.2,52.1,0,0,0,,0,0,64.6,42.8,288.7,1014,39.6,16,167.1,14.5,9,10,2024-03-16T07:23:30,2024-03-16T19:22:59,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-17,3.6,-3.1,0.4,-0.3,-8.7,-5.1,-9.2,49.2,0,0,0,,0,0,57.9,38.5,322.6,1019,50.4,16,117.8,10.3,5,10,2024-03-17T07:21:49,2024-03-17T19:24:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-18,2.6,-6.5,-2.4,-1.4,-13.4,-8.1,-12.6,46.7,0,0,0,,0,0,42.5,25.9,300.9,1024.4,34.9,16,185.7,16.1,8,10,2024-03-18T07:20:07,2024-03-18T19:25:13,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-19,18.6,-0.7,9,18.6,-6,6.8,-5.6,36.4,0,0,0,,0,0,51,30.9,289.9,1011.3,18,15.9,176.5,15.3,8,10,2024-03-19T07:18:25,2024-03-19T19:26:19,0.31,Clear,Clear conditions throughout the day.,clear-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-20,7.7,-0.3,3.3,5.7,-6.2,-0.6,-13.3,29.4,0,0,0,,0,0,46.4,24.9,359.5,1020.6,55.3,16,201.6,17.4,8,10,2024-03-20T07:16:44,2024-03-20T19:27:26,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
Des Moines,2024-03-21,10.1,-2,4,10.1,-6.4,0.7,-10.6,35.3,0,0,0,,0,0,36.1,25.2,94,1021.8,63.5,15.9,154.4,13.1,8,10,2024-03-21T07:15:02,2024-03-21T19:28:32,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDSM,KAMW,72546014933,72546604938,F8044,KIKV,99999954902,C0005"
Des Moines,2024-03-22,6.9,-2,2,4.5,-6.3,-2.3,-3.4,70.6,9.422,100,12.5,"rain,snow",1.5,0.3,40.7,26.5,21.1,1020.3,94.7,12.9,48.1,4.2,3,10,2024-03-22T07:13:20,2024-03-22T19:29:38,0.41,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,snow,"KDSM,72546014933,72546604938,KIKV,99999954902,C0005"
