datetime,temp,feelslike,humidity,precip,windspeed,windgust,solarradiation,solarenergy,uvindex,Date,Unnamed: 0,Price
2024-03-05,5.8,4.0,59.6,0.0,24.1,38.9,136.0,11.7,7,2024-03-05,0,19.37
2024-03-06,7.7,7.0,50.0,0.0,21.1,36.9,112.4,9.6,7,2024-03-06,1,19.48
2024-03-07,8.4,6.5,73.6,0.946,24.7,31.3,61.3,5.2,3,2024-03-07,2,19.86
2024-03-08,3.5,-0.9,74.4,3.657,25.9,51.8,51.5,4.5,2,2024-03-08,3,19.98
2024-03-11,14.5,13.3,39.6,0.0,35.9,56.8,161.8,13.9,8,2024-03-11,4,20.09
2024-03-12,14.6,14.6,51.2,0.0,25.0,42.5,109.8,9.5,4,2024-03-12,5,20.09
2024-03-13,14.3,14.0,61.2,0.206,20.8,32.7,131.5,11.2,6,2024-03-13,6,20.05
2024-03-14,10.8,9.8,85.1,10.588,35.2,59.0,25.0,2.1,1,2024-03-14,7,19.82
2024-03-15,8.9,7.3,63.0,0.0,24.2,40.0,166.2,14.4,8,2024-03-15,8,19.95
2024-03-18,-2.4,-8.1,46.7,0.0,25.9,42.5,185.7,16.1,8,2024-03-18,9,19.95
2024-03-19,9.0,6.8,36.4,0.0,30.9,51.0,176.5,15.3,8,2024-03-19,10,20.02
2024-03-20,3.3,-0.6,29.4,0.0,24.9,46.4,201.6,17.4,8,2024-03-20,11,20.08
2024-03-21,4.0,0.7,35.3,0.0,25.2,36.1,154.4,13.1,8,2024-03-21,12,20.16
2024-03-22,2.0,-2.3,70.6,9.422,26.5,40.7,48.1,4.2,3,2024-03-22,13,20.1
2024-03-25,12.4,11.8,67.8,2.03,26.8,50.0,63.3,5.5,3,2024-03-25,14,20.06
2024-03-26,1.3,-4.7,78.8,15.961,40.0,59.1,66.1,5.8,3,2024-03-26,15,19.78
2024-03-27,0.5,-4.6,52.6,0.0,34.1,48.6,186.7,16.0,8,2024-03-27,16,19.54
2024-03-28,5.7,4.3,55.5,0.0,15.9,22.3,175.6,15.2,9,2024-03-28,17,20.18
2024-04-01,7.7,4.3,91.1,1.444,27.9,41.0,31.0,2.7,1,2024-04-01,18,20.11
2024-04-02,5.2,1.0,82.3,5.021,35.5,64.7,70.5,6.2,4,2024-04-02,19,19.78
2024-04-03,6.6,2.8,55.9,0.0,52.6,82.2,183.8,15.9,8,2024-04-03,20,19.89
2024-04-04,6.5,4.2,51.3,0.0,26.2,46.9,162.5,13.9,10,2024-04-04,21,20.0
2024-04-05,6.9,6.3,59.0,0.0,25.5,40.7,185.6,15.9,9,2024-04-05,22,19.91
2024-04-08,13.1,12.4,53.9,0.0,33.0,48.1,168.3,14.6,8,2024-04-08,23,19.96
2024-04-09,11.7,10.7,54.4,0.0,21.2,44.7,211.7,18.3,9,2024-04-09,24,19.76
2024-04-10,15.5,15.2,42.7,0.0,17.3,25.9,171.2,14.7,10,2024-04-10,25,19.83
2024-04-11,11.3,10.1,60.8,0.823,43.6,62.9,100.7,8.7,4,2024-04-11,26,19.68
2024-04-12,12.2,10.7,46.8,0.0,36.4,51.6,230.8,19.8,9,2024-04-12,27,19.92
2024-04-15,19.9,19.7,27.1,0.0,33.3,49.6,217.8,19.0,9,2024-04-15,28,19.82
2024-04-16,19.1,19.1,59.7,12.135,39.4,64.5,114.2,9.9,7,2024-04-16,29,19.73
